version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,random,yolov8x-coco-torch,0.5,1000,290,0.29,0.60287032540068,0.5677415012458201,0.6348915181309662
16,random,yolov9c-coco-torch,0.5,1000,338,0.338,0.5958700548812099,0.5621866968214121,0.6273627702327754
16,random,yolov9e-coco-torch,0.5,1000,268,0.268,0.5913287048364734,0.5545478541024457,0.6247312693013041
16,random,detection-transformer-torch,0.75,1000,864,0.864,0.729145390795207,0.6835033041260558,0.7689795642564714
16,random,dfine-large-coco-torch,0.75,1000,632,0.632,0.696434713813979,0.6657950007351955,0.7281675248579546
16,random,dfine-medium-coco-torch,0.75,1000,631,0.631,0.7028783837759138,0.6743216341771733,0.7312020677117977
16,random,dfine-nano-coco-torch,0.75,1000,725,0.725,0.704012539184953,0.6692925380063401,0.7368252420763939
16,random,dfine-small-coco-torch,0.75,1000,704,0.704,0.6989668112714987,0.6684390689401036,0.7297147041932882
16,random,dfine-xlarge-coco-torch,0.75,1000,591,0.591,0.6930526768685954,0.6637028845712186,0.7211098037122747
16,random,faster-rcnn-resnet50-fpn-coco-torch,0.75,1000,870,0.87,0.6832670203359859,0.6334650226740324,0.7265598378668475
16,random,retinanet-resnet50-fpn-coco-torch,0.75,1000,784,0.784,0.686295351473923,0.6481967315286177,0.7197107394410702
16,random,rfdetr-base-coco-torch,0.75,1000,658,0.658,0.7008189800742992,0.6715125149744691,0.7333899978159352
16,random,rfdetr-large-coco-torch,0.75,1000,631,0.631,0.6853276298214647,0.6541494483687815,0.7160006562515615
16,random,rfdetr-medium-coco-torch,0.75,1000,629,0.629,0.6899026821335368,0.6595775476663516,0.7208872577460641
16,random,rfdetr-nano-coco-torch,0.75,1000,690,0.69,0.7160518934081347,0.6863805334831042,0.7475143183096818
16,random,rfdetr-small-coco-torch,0.75,1000,641,0.641,0.7048592250096689,0.6738413308429504,0.7347567085749018
16,random,rtdetr-l-coco-torch,0.75,1000,743,0.743,0.7039318987593676,0.6685958301703053,0.7349220750967908
16,random,rtdetr-v2-l-coco-torch,0.75,1000,607,0.607,0.7247003785354075,0.6963017381799828,0.7524900701194622
16,random,rtdetr-v2-m-coco-torch,0.75,1000,626,0.626,0.7041973484136611,0.6735871166015667,0.732635770943193
16,random,rtdetr-v2-s-coco-torch,0.75,1000,680,0.68,0.6963786764705883,0.6659985879268306,0.7272784734940718
16,random,rtdetr-x-coco-torch,0.75,1000,742,0.742,0.7074688146430138,0.6728970504215175,0.7371625147597637
